"174","1101","5","2","","特に慢性期では、浸潤性紅斑、苔癬化病変、痒疹、鱗屑、皮膚のひび割れ、肥厚、乾燥、痂皮がみられる。"
"174","1102","5","2","","左右対称性で、特に頭、足、足首、手首、首、胸、まぶた、肘の内側（肘窩）、膝の後ろ側（膝窩）。小児では、顔や頭皮。"
"71","1086","5","2","","さらさらした水のような鼻水"
"71","1088","5","2","","くしゃみ"
"71","1068","4","1","",""
"71","1069","3","0","","眼のかゆみを伴うこともある（アレルギー性結膜炎）"
"71","1093","3","0","",""
"71","1101","3","0","",""
"71","1017","3","0","","頭の重たい感覚"
"1","1002","5","2","","38℃から40℃以上の突然の高熱"
"1","1001","5","1","","全身の強いだるさや消耗感"
"1","1064","4","1","","関節の節々が痛む"
"1","1065","4","1","","筋痛"
"1","1023","3","0","","乾いた咳"
"1","1091","3","0","",""
"1","1030","3","0","",""
"1","1029","3","0","",""
"1","1017","3","0","",""
"1","1033","3","0","","急性"
"26","1030","5","2","","水様便、時として血便"
"26","1029","5","2","",""
"26","1033","5","2","",""
"26","1002","3","1","","微熱であることもある"
"26","1023","2","0","",""
"26","1086","2","0","",""
"538","1082","5","2","","耳の灼熱感、耳だれ、耳閉感"
"538","1101","3","0","","耳のかゆみ"
"538","1080","3","0","",""
"538","1006","3","0","",""
"538","1081","2","0","",""
"4","1002","5","2","","微熱、急性。稀に高熱の場合がある。"
"4","1017","3","0","",""
"4","1001","4","1","","全身倦怠感"
"4","1086","4","1","","くしゃみを伴うこともある"
"4","1091","4","1","",""
"4","1023","5","2","",""
"4","1010","4","1","",""
"42","1086","5","2","","さらさらした水のような鼻水"
"42","1088","5","2","","くしゃみ"
"42","1069","5","2","","眼のかゆみ"
"42","1091","2","0","",""
"42","1085","3","0","","耳のかゆみ"
"42","1001","3","0","","全身倦怠感、熱っぽさ、頭の重たい感覚"
"6","1086","4","1","","鼻水"
"6","1024","4","1","",""
"6","1092","5","2","",""
"6","1091","5","2","",""
"6","1001","5","2","","疲労感、悪寒、風邪様症状"
"6","1002","5","2","","やや高い熱（インフルエンザ感染による重症例では37.5から38℃）"
"6","1023","5","2","","通常痰のからまない乾いた咳で始まる"
"542","1094","5","2","",""
"542","1006","5","2","","首のリンパ節腫脹"
"542","1023","4","1","",""
"542","1034","5","2","","喉の乾燥感や異物感、嚥下痛"
"542","1002","3","0","",""
"542","1082","3","0","","喉から来る耳の痛み（中耳炎になっていないのに）"
"177","1082","5","2","","耳の痛みと耳だれ"
"177","1006","3","0","",""
"177","1002","4","1","",""
"5","1002","5","2","","40℃前後の高熱であることが多いが、微熱の場合もある。"
"5","1001","4","1","","全身倦怠感"
"5","1006","4","1","","耳の下から頚部にかけての腫れと痛み"
"5","1091","5","2","","のどちんこ（口蓋垂）両脇に白い点が現れたり、口蓋扁桃が赤く腫れる。"
"5","1057","4","1","","耳の下から頚部にかけての腫れと痛み"
"5","1034","4","1","","嚥下痛"
"5","1010","4","1","",""
"5","1024","2","0","","扁桃周囲に膿瘍が形成された場合"
"27","1029","5","2","","激しい腹痛"
"27","1002","4","1","","38℃前後またはそれ以上の発熱"
"27","1030","5","2","","1日に数回から10回以上の水様下痢便に血液や膿粘液が混じることがある。"
"27","1033","5","2","",""
"27","1001","3","1","",""
"27","1091","2","0","","咽頭炎"
"27","1010","4","2","",""
"181","1068","5","2","","眼球結膜および眼瞼が強く充血し、浮腫状になる。典型的には片目で起こり、しばしばもう一方の目に伝染する。"
"181","1075","5","2","","黄色い膿性の眼脂"
"181","1070","4","1","",""
"181","1069","4","1","","眼の刺激症状"
"388","1101","3","0","","灼熱感"
"388","1102","3","0","",""
"388","1068","3","0","","結膜の充血、流涙、眼瞼浮腫"
"388","1086","3","0","","くしゃみを伴うこともある"
"388","1097","3","0","","口腔、口唇、舌の違和感や腫脹"
"388","1094","3","0","","咽喉頭の違和感、掻痒感、絞扼感。嚥下困難"
"388","1023","3","0","","喘鳴を伴うこともある"
"388","1024","2","0","","陥没呼吸（息を吸う際に胸の一部が引っ込む状態での呼吸）"
"388","1022","2","0","",""
"388","1034","3","0","","嚥下困難、胸部圧迫感"
"388","1033","3","0","",""
"388","1029","3","0","",""
"388","1030","3","1","","血便を伴うこともある"
"388","1017","3","0","",""
"388","1001","3","0","","活気の低下、不穏"
"388","1028","2","0","","不整脈"
"388","1126","2","0","","四肢冷感"
"388","1015","2","0","","アナフィラキシーおよびアナフィラキシーショック"
"41","1102","5","2","","身体のあらゆる皮膚上に発症する突発的な強いかゆみを伴う赤い湿疹。"
"41","1101","5","2","","掻くことで発疹が融合し、範囲が拡大することがある"
"41","1029","2","0","","胃腸障害。（胃腸で発症した場合）"
"21","1001","5","2","",""
"21","1095","5","2","","のどの渇き（軽度）、頬粘膜の乾燥（軽度～重度）"
"21","1040","5","2","","尿排出量の減少（軽度）、排尿の停止（中等度～重度）"
"21","1028","3","0","","頻脈（中等度～重度）"
"21","1018","3","0","","中等度"
"21","1017","3","0","","中等度"
"21","1033","3","0","","中等度"
"21","1115","2","1","","嗜眠（中等度）、昏睡（重度）"
"21","1022","2","0","","重度"
"21","1024","2","0","","重度"
"77","1102","5","2","","口の中、手のひら、足底、足背にできる2～3㎜水疱性の発疹"
"77","1002","4","1","","発熱は症例の約3分の1にみられるが、高熱にならないこと（37~38℃）がほとんどである。"
"80","1002","5","2","","微熱"
"80","9999","5","2","","感冒様症状"
"80","1102","5","2","","頬に境界鮮明な紅い発疹が現れた後、手足または胸、腹、背部に網目状の発疹がみられる"
"80","1017","3","0","","成人では頭痛や関節痛が起こることもある"
"213","1029","3","0","","上腹部疼痛"
"213","1033","3","0","","悪心や嘔吐といった消化器症状"
"213","1095","5","2","","口渇"
"213","1041","5","2","","多飲、多尿"
"213","1009","5","2","","食欲あり。"
"213","1001","3","0","","全身倦怠感"
"213","1116","2","0","","重症例"
"18","1095","5","2","","口渇、喉の渇き、多飲"
"18","1009","5","2","","食欲あり。食べていても体重が急激に減少する"
"18","1001","5","2","","全身がだるく、疲れやすい"
"18","1076","3","0","","急激な視力低下、黒い小さな虫が飛んでいるように見える（飛蚊症）"
"18","1041","5","2","","排尿量・排尿回数が増える、尿が泡立つ"
"18","1030","3","0","","神経障害・腸内環境悪化により発生。下痢と便秘を繰り返す場合も"
"18","1031","3","0","","神経障害・腸内環境悪化により発生。下痢と便秘を繰り返す場合も"
"18","1018","3","0","","立ちくらみ"
"18","1047","3","0","","インポテンツ、性欲減退"
"18","1051","3","0","","月経異常"
"18","1062","3","0","","両側性の足の冷え、ほてり、しびれ、痛み（怪我をしていないのに）、触れただけの刺激を痛みとして認識する、感覚の低下、温・冷感の低下、足の皮膚の乾燥、ひび割れ、水虫の発症・悪化、魚の目やたこの発症、巻き爪、こむら返りなどが起こる"
"18","1128","3","0","","足が痙攣する"
"18","1127","3","0","","足裏の違和感"
"18","1101","3","0","","皮膚のかゆみ、おでき、陰部のかゆみ"
"18","9999","3","0","","首筋から肩の皮膚の硬さ"
"18","1102","3","0","","手足や下腿の水疱"
"144","1102","5","2","","発熱後の発疹。腹部・背部を中心に現れ全身に広がる。"
"144","1002","5","2","","38~40℃の高熱が3~4日続いた後に、平熱または37℃程度にストンと下がる。"
"144","1101","2","0","","あまりかゆみはないが、あることもある。"
"76","1002","5","2","","突然起こり2～4日続く38~40℃の高熱"
"76","1102","5","2","","口腔内に現れる紅暈で囲まれた直径1～2mmの水疱、水疱は破れて痛みを伴う"
"76","1097","5","2","","口腔内に現れる紅暈で囲まれた直径1～2mmの水疱、水疱は破れて痛みを伴う"
"76","1091","5","2","",""
"76","1128","3","0","","発熱時にみられる熱性けいれん"
"76","9999","3","0","","不機嫌、拒食、哺乳障害、脱水症"
"76","1001","4","1","",""
"179","1018","5","2","","回転性（vertigo)"
"179","1033","3","0","","急性かつ重症例"
"179","1120","3","0","","眼球が一方向にすばやく動いてから、ゆっくり元の位置に戻る（眼振）"
"179","1080","1","-3","","耳鳴りはないことが特徴"
"179","1081","1","-3","","難聴はないことが特徴"
"143","1023","5","2","","咳、喘鳴"
"143","1086","4","1","","鼻水"
"143","1024","3","0","","6か月未満の乳児で初期症状としてみられる無呼吸、多呼吸、陥没呼吸"
"143","1002","5","2","","38~39℃の発熱"
"534","1105","5","2","","通常は単発性の数mm~2㎝大くらいまでの半球状および痰紅色、赤褐色～黒色の小結節で、主に頭頸部に突然出現し拡大する"
"534","1107","3","2","","色素沈着を伴い黒褐色になることもある。"
"178","1097","5","2","","口腔内に発生する境界明瞭で浅い卵円形または円形の潰瘍。中心部は壊疽性であり、灰黄色の偽膜、紅輪、わずかに隆起した赤い辺縁を伴う。"
"104","1029","5","2","","みぞおち（心窩部）に起こるやけつくような痛み、またはかじられるような痛み（疼痛）空腹感と表現されることもある"
"104","1025","3","0","",""
"104","1033","3","0","",""
"25","1034","5","2","","口腔内への胃内容逆流を伴うまたは伴わない胸やけ、嚥下痛、乳児では慢性誤嚥の症状がみられる"
"25","1029","5","2","","心窩部痛。慢性。食事の後などに増悪。"
"25","1027","5","2","","慢性経過の胸痛。食事の後などに増悪。"
"25","1033","2","0","","乳児で発現"
"25","1010","2","0","","乳児で発現"
"25","1024","3","0","","咽頭痙攣に伴う呼吸困難。急性発作。発作前に苦味や喉のいがらっぽさ、痰がひりついたなどの感覚があるとこの病気を疑う"
"25","1023","4","1","","慢性誤嚥のある成人と乳児にみられる咳"
"25","1094","2","0","","慢性誤嚥のある成人と乳児にみられる嗄声"
"25","1092","2","0","","慢性誤嚥のある成人と乳児にみられる喘鳴"
"25","1025","2","0","","ごく微量から大量の食道出血"
"25","9999","2","0","","剣状突起または高位の胸骨下領域に限局した疼痛"
"78","1002","5","2","","39℃を超えて5日以上続く発熱"
"78","1001","3","0","","全身倦怠感"
"78","1091","5","2","","咽頭炎、咽頭発赤"
"78","1023","3","0","",""
"78","1086","3","0","",""
"78","1067","5","2","","結膜炎に伴う眼の痛み"
"78","1068","5","2","","結膜炎に伴う結膜充血"
"78","1070","5","2","","結膜炎に伴う流涙"
"78","1075","5","2","","結膜炎に伴う眼脂"
"552","1062","5","2","","膝蓋腱付着部における脛骨結節上の疼痛、腫脹、および圧痛、通常片側性"
"229","1001","5","2","",""
"8","1024","5","2","","急性発症、寛解増悪を繰り返す目に見える努力呼吸（首や胸骨の筋肉の使用、直立姿勢、すぼめた唇、会話不能）、頻呼吸、息切れ"
"8","1023","5","2","","咳を唯一の症状とする例もある、透明で粘液性の痰"
"8","9999","5","2","","呼気相のみで、または呼・吸気相両方で聞こえる喘鳴（重症例では気流の制限により聞こえないこともある）"
"8","1101","3","0","","小児で初期症状として起こる首や胸のかゆみ"
"8","1022","2","0","",""
"8","1028","4","1","","奇脈、頻呼吸、頻脈"
"225","1035","5","2","",""
"225","1010","5","2","",""
"225","1001","5","2","",""
"225","1033","5","2","",""
"225","1002","5","2","",""
"225","1029","4","1","","右上腹部痛"
"225","1038","5","0","","黄疸に先立ってみられる暗色尿、褐色尿"
"515","1023","5","2","","ケンケンと犬が吠えるよう（犬吠様）でしばしば発作的な咳"
"515","1092","5","2","","呼気性喘音、ラ音"
"515","1094","5","2","",""
"515","1024","5","2","","呼吸窮迫、頻呼吸、陥没呼吸、努力呼吸などさまざまな呼吸器症状"
"515","1022","2","0","",""
"515","9999","3","0","","よだれが出る"
"105","1027","5","2","","咳および動作で悪化するみぞおちの痛み（心窩部痛）初期症状。"
"105","1029","5","2","","心窩部痛の後、咳および動作で悪化する臍周囲痛に続く右下腹部痛"
"105","1033","3","0","","短時間の悪心と嘔吐"
"105","1010","3","0","",""
"70","1086","5","2","","膿の混じった鼻汁。悪臭を伴う。"
"70","1020","5","2","","顔面の圧迫感と顔面痛、上顎痛、歯痛、前頭部痛"
"70","1090","5","2","","鼻が詰まる事による嗅覚異常。"
"70","1096","5","2","","副鼻腔の膿の悪臭による口臭。"
"70","1001","4","1","",""
"70","1002","2","0","","ときとして起こる"
"223","1129","4","1","","神経質などの精神症状"
"223","1028","5","2","","動悸、頻脈、脈圧の上昇、心房細動、むくみ、不整脈"
"223","1169","5","2","","びまん性甲状腺腫大"
"223","1005","4","1","","多汗"
"223","1001","5","2","","全身倦怠感、疲れやすい、脱力感"
"223","1011","4","1","","食欲亢進"
"223","1009","5","2","","食欲あり。"
"223","1134","4","1","","不眠"
"223","1030","4","1","",""
"223","1051","3","0","","月経過少"
"223","1122","5","2","","手指振戦"
"223","1071","5","2","","約3割でみられる眼球突出"
"223","1120","4","1","","複視"
"223","1068","4","1","","結膜の軽度充血"
"223","1067","4","1","","眼窩痛"
"223","1070","4","1","",""
"223","1069","4","1","","眼の刺激感"
"223","1078","4","1","","羞明"
"223","1101","4","1","","浸潤性皮膚病"
"410","1086","4","1","","鼻水"
"410","1088","4","1","",""
"410","1002","5","2","","微熱"
"410","1023","5","2","","咳"
"410","1024","5","2","","頻呼吸や陥没呼吸といった上気道感染症状がみられ、進行すると呼吸窮迫を伴う。喘鳴、水疱音がみられることもある。新生児では反復性の無呼吸発作後に典型的な症状が現れることもある。"
"410","1022","4","1","","呼吸窮迫の兆候としての口囲チアノーゼ"
"410","9999","4","1","","感染の進行を示す嗜眠傾向"
"410","1033","3","0","",""
"433","1105","5","2","","ウィルス型により全身のさまざまな箇所に発症する結節"
"190","1105","5","2","","斑状疹が数時間以内に丘疹へと進行"
"190","1102","5","2","","上半身に群発する涙滴状小水疱"
"190","1101","5","2","","しばしば強いかゆみを伴う"
"190","1002","5","2","","病変発症の約24~36時間前に現れる中等度の発熱"
"190","1001","3","0","","病変発症の約24~36時間前に現れる倦怠感"
"190","9999","3","0","","口腔咽頭および上気道、眼瞼結膜、ならびに直腸および膣を含めた粘膜に現れる潰瘍病変"
"312","1033","4","1","","悪心、嘔吐"
"312","1018","5","2","","回転性（vertigo)"
"312","1120","5","2","","患側へ向かう持続性（一方向性、水平性）自発眼振"
"312","1080","1","-3","","耳鳴りは随伴しない"
"312","1081","1","-3","","難聴は随伴しない"
"3","1102","5","2","","紅斑上にみられる小水疱群"
"3","1127","5","2","","刺すような痛み、しびれた痛み、激しい痛み、知覚過敏症"
"75","1102","5","2","","口唇、顔面、角膜、性器など身体のあらゆる部位の皮膚や粘膜にみられる小水疱、びらん"
"130","1122","5","2","","不随意運動、運動発作"
"130","1114","5","2","","意識消失"
"130","1017","3","0","",""
"130","1128","4","1","",""
"130","1132","4","1","","錯乱などの精神症状"
"79","1001","5","2","","疲労"
"79","1002","5","2","","午後または夕方早くに39.5℃付近でピークとなる発熱、40.5℃まで上がることもある。"
"79","1091","3","0","","重度の咽頭炎、ときとして滲出性"
"79","1006","5","2","","特に前頸部および後頸部リンパ節鎖を侵しうる対称的なアデノパシー"
"79","9999","2","0","","眼窩周囲の浮腫"
"79","1102","2","0","","斑丘疹性発疹"
"79","1105","2","0","","斑丘疹性発疹"
"79","1035","2","0","",""
"79","1097","2","0","","口蓋粘膜疹"
"535","1105","5","2","","顔面、体幹、四肢（小児の場合）および陰部、陰茎、女性の外陰部（成人の場合）など、手掌および足底を除く全身に発症する、平滑でロウ様または真珠様の光沢をもつ直径1~5㎜の丘疹。"
"535","1102","5","2","","顔面、体幹、四肢（小児の場合）および陰部、陰茎、女性の外陰部（成人の場合）など、手掌および足底を除く全身に発症する、平滑でロウ様または真珠様の光沢をもつ直径1~5㎜の丘疹。"
"434","1102","5","2","","大型化する炎症の乏しい小水疱"
"434","1101","5","2","",""
