"1001","かぜ・胃腸炎"
"1002","呼吸器・消化器症状の無い発熱"
"1003","1週間以上続く発熱"
"1004","寝汗、ほてり"
"1005","全身倦怠感（だるさ）"
"1006","食欲不振、体重減少"
"1007","不眠"
"1008","浮腫"
"1009","頭痛"
"1010","咽頭痛"
"1011","耳痛"
"1012","胸痛"
"1013","急性腹痛"
"1014","腰痛・背部痛"
"1015","関節痛・筋肉痛"
"1016","鼻水・鼻づまり"
"1017","咳・痰"
"1019","呼吸困難（息苦しさ）"
"1020","声が出ない・嗄声"
"1021","喘息"
"1023","気胸"
"1024","動悸・不整脈"
"1025","血圧上昇"
"1027","心房細動"
"1028","食欲低下"
"1029","吐き気・嘔吐"
"1030","慢性腹痛"
"1031","腹部膨満感・ガスが多い"
"1032","下痢"
"1033","便秘"
"1034","血便・下血"
"1035","食中毒"
"1036","めまい"
"1037","顔面麻痺"
"1038","意識消失"
"1039","しびれ"
"1040","おしっこが近い"
"1041","排尿時の痛み"
"1042","尿混濁・血尿"
"1043","発疹"
"1044","かゆみ"
"1045","しこり、腫れ"
"1046","頸部のしこり"
"1047","高血圧"
"1048","糖尿病"
"1049","脂質異常症（コレステロール・中性脂肪の異常）"
"1050","肝機能異常・脂肪肝"
"1051","貧血"
"1052","甲状腺腫大・機能異常"
"1053","高尿酸血症・痛風"
"1054","尿タンパク"
"1055","血尿・尿潜血"
"1056","腎機能異常"
"1057","便潜血"
"1058","胸部レントゲン異常"
"1059","心電図異常"
"1060","骨粗鬆症"
"1061","食道・胃の異常、ピロリ菌"
"1062","その他の検診異常"
"1063","認知症"
"1064","在宅の相談"
"1065","予防接種"
"1066","禁煙治療"
"1067","その他の痛み"
"1068","ガン検査"
"1069","その他検査"
"1070","アレルギー"
"1071","抑うつ"
"1072","その他皮膚のトラブル"
"1073","気分の変動"
"1074","その他こころの症状"
"1075","不安感"
"1076","アレルギー検査"
