"1","かぜ・胃腸炎","1001"
"2","発熱","1002"
"2","発熱","1003"
"3","全身","1004"
"3","全身","1005"
"3","全身","1006"
"3","全身","1007"
"3","全身","1008"
"4","痛み","1009"
"4","痛み","1010"
"4","痛み","1011"
"4","痛み","1012"
"4","痛み","1013"
"4","痛み","1030"
"4","痛み","1014"
"4","痛み","1015"
"4","痛み","1067"
"5","呼吸に関連したもの","1016"
"5","呼吸に関連したもの","1017"
"5","呼吸に関連したもの","1019"
"5","呼吸に関連したもの","1020"
"5","呼吸に関連したもの","1021"
"5","呼吸に関連したもの","1012"
"5","呼吸に関連したもの","1023"
"6","心臓","1024"
"6","心臓","1012"
"6","心臓","1019"
"6","心臓","1025"
"6","心臓","1027"
"7","おなか","1028"
"7","おなか","1029"
"7","おなか","1013"
"7","おなか","1030"
"7","おなか","1031"
"7","おなか","1032"
"7","おなか","1033"
"7","おなか","1035"
"7","おなか","1034"
"8","神経系","1036"
"8","神経系","1037"
"8","神経系","1038"
"8","神経系","1039"
"9","尿・便の問題","1040"
"9","尿・便の問題","1041"
"9","尿・便の問題","1042"
"9","尿・便の問題","1032"
"9","尿・便の問題","1033"
"9","尿・便の問題","1035"
"9","尿・便の問題","1034"
"10","かゆみや皮膚のトラブル","1043"
"10","かゆみや皮膚のトラブル","1044"
"10","かゆみや皮膚のトラブル","1045"
"10","かゆみや皮膚のトラブル","1046"
"10","かゆみや皮膚のトラブル","1072"
"11","健診異常","1047"
"11","健診異常","1048"
"11","健診異常","1049"
"11","健診異常","1050"
"11","健診異常","1051"
"11","健診異常","1052"
"11","健診異常","1053"
"11","健診異常","1054"
"11","健診異常","1055"
"11","健診異常","1056"
"11","健診異常","1057"
"11","健診異常","1058"
"11","健診異常","1059"
"11","健診異常","1060"
"11","健診異常","1061"
"11","健診異常","1062"
"12","認知症、在宅の相談","1063"
"12","認知症、在宅の相談","1064"
"13","検査・特殊外来希望","1065"
"13","検査・特殊外来希望","1066"
"13","検査・特殊外来希望","1076"
"13","検査・特殊外来希望","1068"
"13","検査・特殊外来希望","1069"
"15","その他","1070"
"14","心療内科","1071"
"14","心療内科","1075"
"14","心療内科","1073"
"14","心療内科","1074"
