"1","インフルエンザ","急性","Y","",".25",".25",".25",".25",".5",".5",".5",".05",".05",".4","J111","",""
"2","溶連菌感染症","急性","Y","",".4",".4",".23",".2",".5",".5",".2",".2",".3",".3","A491","","溶連菌の感染により、主に咽頭炎を中心として首のリンパの腫れ、３８℃以上の発熱、全身に赤い発疹を伴う。"
"3","帯状疱疹","急性頻回","Y","1",".1",".1",".4",".6",".5",".5",".2",".25",".3",".25","B029","","水痘・帯状疱疹ウィルスが原因で、痛みのある発疹が体の片側に帯のように出る病気。皮膚の痛み、ピリピリ感が出て、その後発疹や水ぶくれが出来る。加齢やストレス、過労などにより免疫が落ちた時に発症しやすい。高齢者に多いが若年性でも見られる。"
"4","かぜ症候群","急性","Y","",".25",".25",".25",".25",".5",".5",".3",".2",".2",".3","J00","",""
"5","扁桃炎","急性","Y","",".3",".3",".2",".2",".5",".5",".4",".1",".1",".4","J039","",""
"6","気管支炎","急性慢性","Y","",".25",".25",".25",".25",".5",".5",".4",".1",".1",".4","J40","",""
"7","咳喘息","慢性急性","Y","",".25",".25",".25",".25",".5",".5",".4",".1",".1",".4","J459","","咳が長引いて喘息様となった状態。３週間以上咳が続いていることが診断の一つの目安であり、早朝や寝るときに悪化する場合や、日中に症状が出る場合など様々。"
"8","喘息","頻回慢性","Y","",".25",".25",".25",".25",".5",".5",".4",".1",".1",".4","J459","",""
"9","高血圧症","慢性","N","","0","0",".44",".6",".5",".5",".25",".25",".25",".25","I10","",""
"10","閉塞性動脈硬化症","慢性","Y","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","I709","","動脈硬化が進むことで、足などの血行不良と強い痛みが起こる病気。手足の冷え、しびれ、間欠跛行、手足の痛み、などの症状が起きる。"
"11","上室性頻拍","慢性急性頻回","Y","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","I471","","突然脈拍数が高くなる不整脈の一種。WPW症候群が原因となって発生する場合がある。動悸や胸部不快感、頻拍により血圧が下がった場合にはのぼせ・ほてり、めまいなどもおきる。"
"12","頻脈","慢性","Y","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","I471","",""
"13","期外収縮","慢性","Y","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","I494","","不整脈の一種。本来の心拍リズムより心臓が先に収縮してしまう状態。"
"14","洞徐脈","慢性","Y","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","R001","",""
"15","痛風・高尿酸血症","慢性","N","","0","0",".44",".5",".5",".5",".25",".25",".25",".25","E790","",""
"16","肥満","慢性","Y","",".1",".2",".28",".2",".5",".5",".25",".25",".25",".25","E669","",""
"17","脂質異常症","慢性","N","",".1",".1",".42",".3",".5",".5",".25",".25",".25",".25","E785","",""
"18","2型糖尿病","慢性","N","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","E11","",""
"19","橋本病（慢性甲状腺炎）","慢性","N","","0","0",".7",".3",".1",".9",".25",".25",".25",".25","E063","","免疫の異常により甲状腺が炎症をおこすことで甲状腺機能低下が起きる。甲状腺機能低下の症状として、甲状腺の腫れ、皮膚の乾燥、倦怠感、抑うつ気分、便秘などが起きる。"
"20","腺腫様甲状腺腫","慢性","N","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","E049","","甲状腺に出来る良性腫瘍の一種。1個から複数のしこりができる。症状としては、甲状腺（首の前）にしこりが出来る、甲状腺が腫れる、などの症状がある。"
"21","脱水症","突発","N","1",".25",".25",".25",".25",".5",".5",".1",".2",".6",".1","E86","",""
"22","悪心","慢性急性","Y","","0",".33",".33",".33",".5",".5",".25",".25",".25",".25","R11","",""
"23","胃・食道ポリープ","慢性","Y","","0","0",".44",".5",".5",".5",".25",".25",".25",".25","K228","K317","胃、食道の粘膜に出来たポリープ。痛みが無いことが多く、吐き気や消化管の出血がありえる。"
"24","大腸ポリープ","慢性","Y","","0","0",".44",".5",".5",".5",".25",".25",".25",".25","K635","","大腸に出来たポリープ。自覚症状はなく、血便が出ることがある。"
"25","逆流性食道炎","慢性","Y","","0",".1",".28",".5",".5",".5",".25",".25",".25",".25","K210","",""
"26","ウィルス性胃腸炎","急性","Y","",".25",".25",".25",".25",".5",".5",".4",".1",".1",".4","A084","",""
"27","感染性胃腸炎","急性","Y","",".25",".25",".38",".25",".5",".5",".4",".1",".1",".4","A09","",""
"28","過敏性腸症候群","頻回","Y","","0","0",".65",".35",".67",".33",".25",".25",".25",".25","K589","",""
"29","下痢型過敏性腸症候群","頻回","Y","","0","0",".65",".35",".5",".5",".25",".25",".25",".25","K580","",""
"30","慢性胃炎","慢性","Y","","0",".1",".45",".45",".5",".5",".25",".25",".25",".25","K295","",""
"31","大腸憩室症","慢性","Y","","0",".1",".43",".7",".5",".5",".25",".25",".25",".25","K573","","先天的・後天的理由により大腸の壁の一部が外側に袋状に飛び出した状態。通常は無症状で大腸検査等で発見されることが多いが、便がつまったりすることで炎症をおこすことがあり、腹痛、発熱、下血がある。"
"32","便秘症","慢性","Y","",".2",".2",".3",".3",".33",".67",".25",".25",".25",".25","K590","",""
"33","胆嚢ポリープ","慢性","N","","0","0",".5",".5",".5",".5",".25",".25",".25",".25","K828","","胆嚢に出来るポリープ。"
"34","肝障害","慢性","N","","0","0",".43",".6",".5",".5",".25",".25",".25",".25","K769","",""
